epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2195.03,0.6136,0.47899,0.95099,0.9118,0.89684,0.95395,0.69464,1.01255,0.55724,1.08407,0.005743,0.005743,0.005743
45,2244.97,0.60372,0.46512,0.9462,0.93372,0.89691,0.95112,0.68754,1.00304,0.5554,1.07819,0.005644,0.005644,0.005644
46,2294.16,0.60608,0.46674,0.94964,0.95257,0.87257,0.95106,0.69246,1.00611,0.54688,1.07803,0.005545,0.005545,0.005545
47,2343.66,0.60206,0.46941,0.94702,0.95157,0.88283,0.95411,0.68821,0.99911,0.55176,1.07563,0.005446,0.005446,0.005446
48,2392.66,0.60114,0.46021,0.94382,0.92158,0.89357,0.95201,0.68699,1.00464,0.54778,1.07751,0.005347,0.005347,0.005347
49,2442.33,0.59479,0.46033,0.94221,0.93576,0.89347,0.95056,0.68006,1.00242,0.55594,1.07915,0.005248,0.005248,0.005248
50,2493.34,0.59562,0.44975,0.94264,0.91832,0.89636,0.94393,0.68428,0.99211,0.54165,1.07009,0.005149,0.005149,0.005149
51,2544.51,0.59518,0.44991,0.94148,0.93284,0.89355,0.95089,0.68872,0.99914,0.53714,1.07474,0.00505,0.00505,0.00505
52,2595.47,0.58892,0.44439,0.9371,0.93275,0.90918,0.95456,0.70037,0.98375,0.5318,1.06478,0.004951,0.004951,0.004951
53,2647.79,0.58152,0.44081,0.93765,0.91603,0.92593,0.95646,0.7002,0.97694,0.52836,1.06653,0.004852,0.004852,0.004852
54,2702.03,0.58483,0.44271,0.93699,0.94726,0.90222,0.9552,0.69731,0.97194,0.52278,1.05609,0.004753,0.004753,0.004753
55,2754.73,0.58166,0.43757,0.93695,0.93823,0.89841,0.95407,0.70051,0.97555,0.52449,1.05816,0.004654,0.004654,0.004654
56,2806.09,0.58326,0.43363,0.93405,0.92923,0.89678,0.95481,0.70006,0.97499,0.51586,1.05841,0.004555,0.004555,0.004555
57,2857.3,0.59147,0.43199,0.93935,0.93961,0.90943,0.95658,0.69828,0.97753,0.51981,1.05887,0.004456,0.004456,0.004456
58,2907.84,0.57784,0.42347,0.93604,0.9537,0.87627,0.95549,0.70431,0.97846,0.51693,1.05828,0.004357,0.004357,0.004357
59,2959.11,0.57178,0.42216,0.93245,0.92462,0.92203,0.95894,0.6999,0.97894,0.51786,1.06248,0.004258,0.004258,0.004258
60,3009.84,0.57286,0.4206,0.93316,0.93032,0.90856,0.95788,0.70079,0.97901,0.52057,1.06106,0.004159,0.004159,0.004159
61,3060.47,0.5737,0.41864,0.93097,0.93381,0.91532,0.95983,0.70004,0.97921,0.51571,1.06197,0.00406,0.00406,0.00406
62,3111.26,0.56494,0.4099,0.92909,0.93775,0.92189,0.95641,0.69959,0.98189,0.51537,1.06409,0.003961,0.003961,0.003961
63,3162.28,0.5729,0.41596,0.93386,0.95016,0.90796,0.9549,0.70041,0.97909,0.51613,1.06333,0.003862,0.003862,0.003862
64,3212.83,0.56773,0.40749,0.92759,0.9345,0.92523,0.95679,0.69812,0.97445,0.51491,1.06013,0.003763,0.003763,0.003763
65,3263.6,0.56371,0.40901,0.92735,0.9261,0.92363,0.9558,0.69129,0.97418,0.51369,1.06238,0.003664,0.003664,0.003664
66,3314.34,0.56186,0.40072,0.92319,0.93166,0.92338,0.956,0.69814,0.97418,0.508,1.06175,0.003565,0.003565,0.003565
67,3370.32,0.55815,0.39849,0.92407,0.93935,0.91889,0.9557,0.7003,0.97347,0.50778,1.06337,0.003466,0.003466,0.003466
68,3426.86,0.55915,0.39776,0.92572,0.92705,0.92445,0.95624,0.70472,0.96388,0.5052,1.05733,0.003367,0.003367,0.003367
69,3483.4,0.55609,0.39734,0.92593,0.93685,0.9186,0.95606,0.70216,0.96728,0.50819,1.05825,0.003268,0.003268,0.003268
70,3539.29,0.54966,0.3904,0.92557,0.92771,0.92081,0.95512,0.70301,0.96508,0.50682,1.05972,0.003169,0.003169,0.003169
71,3591.25,0.55112,0.38767,0.92569,0.92972,0.918,0.95612,0.70167,0.9645,0.50659,1.06074,0.00307,0.00307,0.00307
