epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,955.649,1.56642,1.40194,1.51503,0.58987,0.5576,0.58469,0.2901,1.68617,1.35575,1.63235,0.000990365,0.000990365,0.000990365
43,978.287,1.5443,1.40157,1.5041,0.58449,0.53023,0.56374,0.28251,1.70622,1.38488,1.65088,0.000973861,0.000973861,0.000973861
44,1000.68,1.53482,1.37068,1.49518,0.59141,0.56071,0.58623,0.29395,1.68469,1.32959,1.6436,0.000957358,0.000957358,0.000957358
45,1022.88,1.55258,1.37339,1.50907,0.6214,0.55567,0.5978,0.29852,1.6861,1.32596,1.64181,0.000940855,0.000940855,0.000940855
46,1045.26,1.54729,1.36899,1.50536,0.65458,0.55621,0.60698,0.30638,1.68356,1.29735,1.62852,0.000924352,0.000924352,0.000924352
47,1068.84,1.52545,1.36581,1.48846,0.59969,0.55465,0.58975,0.29212,1.68082,1.34001,1.63983,0.000907848,0.000907848,0.000907848
48,1092.17,1.53446,1.36066,1.48671,0.60789,0.57046,0.59271,0.29546,1.68071,1.323,1.64005,0.000891345,0.000891345,0.000891345
49,1114.73,1.53205,1.34581,1.48753,0.66772,0.55072,0.60262,0.29839,1.68315,1.30052,1.63987,0.000874842,0.000874842,0.000874842
50,1137.27,1.51483,1.35867,1.48876,0.58878,0.57003,0.588,0.29574,1.66079,1.32144,1.63341,0.000858338,0.000858338,0.000858338
51,1160.4,1.52284,1.3431,1.48006,0.62525,0.54427,0.59465,0.29357,1.6962,1.31802,1.64526,0.000841835,0.000841835,0.000841835
52,1184.01,1.51409,1.34698,1.48797,0.64999,0.52926,0.59783,0.29766,1.67095,1.31467,1.64222,0.000825332,0.000825332,0.000825332
53,1208.2,1.50693,1.3033,1.46309,0.65426,0.54846,0.60575,0.30658,1.67216,1.29155,1.62075,0.000808828,0.000808828,0.000808828
54,1231.93,1.51112,1.31819,1.47219,0.62426,0.56437,0.60436,0.30539,1.67281,1.29848,1.6211,0.000792325,0.000792325,0.000792325
55,1255.75,1.49496,1.29094,1.46415,0.64403,0.54525,0.59923,0.30185,1.66752,1.31453,1.62875,0.000775822,0.000775822,0.000775822
56,1279.11,1.50726,1.30377,1.47966,0.65734,0.54211,0.60662,0.30669,1.64971,1.28737,1.62736,0.000759318,0.000759318,0.000759318
57,1303.05,1.49874,1.29074,1.47207,0.63368,0.56246,0.61068,0.30731,1.67172,1.28361,1.62402,0.000742815,0.000742815,0.000742815
58,1325.79,1.49036,1.29576,1.46232,0.65325,0.54957,0.60856,0.30645,1.67184,1.27881,1.62296,0.000726312,0.000726312,0.000726312
59,1348.63,1.49724,1.28255,1.46381,0.63482,0.56219,0.60855,0.30831,1.65394,1.26294,1.60902,0.000709809,0.000709809,0.000709809
60,1371.47,1.48904,1.27352,1.45187,0.6463,0.57686,0.62135,0.31456,1.64922,1.25146,1.6077,0.000693305,0.000693305,0.000693305
61,1394.45,1.47777,1.2684,1.44901,0.67308,0.54919,0.61797,0.31064,1.65982,1.26114,1.59549,0.000676802,0.000676802,0.000676802
62,1417.12,1.48481,1.26033,1.44822,0.62526,0.57742,0.61907,0.30929,1.67417,1.26833,1.61599,0.000660299,0.000660299,0.000660299
63,1440.49,1.46137,1.24051,1.43589,0.6496,0.58396,0.6223,0.31644,1.64891,1.23436,1.61601,0.000643795,0.000643795,0.000643795
64,1463.09,1.47215,1.2371,1.44015,0.64168,0.58313,0.62268,0.31428,1.65698,1.24886,1.61832,0.000627292,0.000627292,0.000627292
65,1486,1.46534,1.23696,1.44635,0.66041,0.5716,0.6296,0.31984,1.64422,1.22966,1.6071,0.000610789,0.000610789,0.000610789
66,1508.84,1.46373,1.24892,1.44239,0.67544,0.57218,0.62985,0.31991,1.66067,1.23528,1.61315,0.000594286,0.000594286,0.000594286
